LR No,Date,Customer,Place,Quantity,Amount,Payment Method,Type
503,15-11-2025,COOL GREEN,KAYAMKULAM,1,250.0,1,Booking
504,15-11-2025,GOLDEN,TIRUPUR,3,450.0,1,Booking
505,15-11-2025,MAVA ELECTRICALS,ERNAKULAM,11,2750.0,1,Booking
506,15-11-2025,LAXMI STEELS,PALAKAD,22,5500.0,1,Booking
507,15-11-2025,FIVE STAR,ERNAKULAM,72,14200.0,1,Booking
508,15-11-2025,ESCO PIPES,KANJIKODE,1,5000.0,1,Booking
509,15-11-2025,SOUTHERN AGRIFURANE,CHERUVATHUR,13,2190.0,1,Booking
510,15-11-2025,SATYAM LIGHTS,TRIVANDRUM,8,1900.0,1,Booking
511,15-11-2025,NANBAN PAPER,KARUR,24,8400.0,1,Booking
512,15-11-2025,BUDDIES,KALPETTA,1,300.0,2,Booking
513,15-11-2025,SHEETAL FLOWERS,MANGALORE,4,1250.0,1,Booking
514,15-11-2025,TEEPEE'S COLOUR,SULTHANBATHERY,20,3700.0,2,Booking
515,15-11-2025,IRSHAD PALLEYACTHODY,MALAPURAM,2,1100.0,1,Booking
516,15-11-2025,YASEEN MANZIL,KASARGOD,1,900.0,1,Booking
517,15-11-2025,KEMI STEEL,PALAKAD,8,2000.0,1,Booking
518,15-11-2025,TOOL LAND,PALAKAD,9,2250.0,1,Booking
519,15-11-2025,SRI JAYAM,TIRUPUR,1,150.0,1,Booking
520,15-11-2025,MINA AGENCIES,KONDOTI,31,5000.0,1,Booking
521,15-11-2025,SRI MAHALAKSMI,TIRUPUR,79,5000.0,1,Booking
401,08-11-2025,KANJIRAPALLY MARKETING,KANJIRAPALLY,7,2660.0,2,Booking
402,08-11-2025,VARIETY GIFTS,TIRUR,20,7150.0,1,Booking
415,10-11-2025,SREE RAJESHWAR,TIRUPUR,6,900.0,1,Booking
431,11-11-2025,ROYAL STAR,MALAPURAM,7,3850.0,1,Booking
450,12-11-2025,LEESHE BRUSH,KANNUR,4,2200.0,1,Booking
403,08-11-2025,VARIETY GIFTS,TIRUR,18,5900.0,1,Booking
404,08-11-2025,MADHU OFFSET,TIRUPUR,24,2880.0,1,Booking
405,08-11-2025,BAZOOKA OFFSET,AREEKODE,1,300.0,1,Booking
406,08-11-2025,GOLDEN DESINE,TIRUPUR,1,150.0,1,Booking
407,08-11-2025,KAALI RAMAN,TIRUPUR,2,300.0,1,Booking
408,08-11-2025,JAYAM SCIENTIFIC,COIMBATORE,40,4200.0,1,Booking
409,08-11-2025,COZIMO SPORTS,THAMARASERY,45,14000.0,1,Booking
410,08-11-2025,SUVEDA FASHION,TIRUPUR,1,100.0,2,Booking
411,08-11-2025,KEMI STEEL,PALAKAD,16,4000.0,1,Booking
412,08-11-2025,SRI JAYAM,TIRUPUR,3,450.0,1,Booking
413,08-11-2025,LED SHOPEE,CHANGANACHERRY,1,450.0,1,Booking
414,08-11-2025,CLASSIC GOLD,COIMBATORE,2,240.0,2,Booking
416,10-11-2025,SREE SHANTHINATH,TIRUPUR,14,2100.0,1,Booking
417,10-11-2025,CITY AUTOPARTS,COCHIN,1,200.0,1,Booking
418,10-11-2025,WINNER TOY LAND,COIMBATORE,4,1200.0,1,Booking
419,10-11-2025,ENGINEERING POLYMER,MADURAI,4,250.0,1,Booking
420,10-11-2025,KAALI RAMAN,TIRUPUR,1,100.0,1,Booking
421,10-11-2025,MAHAVEER STICKER,MALAPURAM,1,350.0,1,Booking
422,10-11-2025,MARVAMILL STORE,MUVATUPUZHA,120,15000.0,1,Booking
423,10-11-2025,TATA PROJECT,TRIVANDRUM,5,1500.0,2,Booking
424,10-11-2025,SHRI SINGARAM,COIMBATORE,15,12300.0,1,Booking
425,10-11-2025,FLOWER LAND,CHALAKUDY,2,700.0,2,Booking
426,10-11-2025,SK BROOM,ERNAKULAM,24,8300.0,1,Booking
427,10-11-2025,LIGHTING STUDIO,RAMANATUKARA,1,350.0,1,Booking
428,10-11-2025,GOLDEN DESINE,TIRUPUR,1,150.0,1,Booking
429,10-11-2025,SRI JAYAM,TIRUPUR,1,100.0,1,Booking
430,10-11-2025,CLASSIC GOLD,COIMBATORE,2,240.0,2,Booking
432,11-11-2025,LEESHE BRUSH,KANNUR,2,1100.0,1,Booking
434,11-11-2025,VIJAY ELECTRICAL,ERNAKULAM,1,200.0,1,Booking
435,11-11-2025,FLOWER WORLD,TIRUR,13,5000.0,1,Booking
436,11-11-2025,CRAFT HOUSE,MANGALORE,6,1800.0,1,Booking
437,11-11-2025,SUPREME DECORATIVE,KASARGOD,2,600.0,1,Booking
438,11-11-2025,MAVA ELECTRICAL,ERNAKULAM,1,300.0,1,Booking
439,11-11-2025,TEEKAY NON,SIVAKASI,8,500.0,1,Booking
440,11-11-2025,BI LIGHTS,KUNNAMKULAM,1,250.0,1,Booking
441,11-11-2025,ALLIED BLENDERS,COCHIN,3,890.0,2,Booking
442,11-11-2025,TATA CONSUMER,COCHIN,24,3620.0,2,Booking
443,11-11-2025,KAALI RAMAN,TIRUPUR,1,150.0,1,Booking
444,11-11-2025,HTL CORPORATION,MALAPURAM,78,14850.0,1,Booking
445,11-11-2025,MANGALORE HOTEL,MANGALORE,7,2800.0,1,Booking
446,11-11-2025,DURUV VENTURES,COIMBATORE,3,1050.0,1,Booking
447,11-11-2025,HEATRAN ENGG,COIMBATORE,2,300.0,1,Booking
448,11-11-2025,SRI JAYAM,TIRUPUR,1,150.0,1,Booking
449,11-11-2025,FASHION CREATOR,TIRUPUR,1,100.0,1,Booking
451,12-11-2025,MEENACHI AMMAN,PALAKAD,4,2200.0,1,Booking
452,12-11-2025,WINNER TOY LAND,COIMBATORE,1,300.0,1,Booking
453,12-11-2025,GRAND TECH,ERNAKULAM,50,5000.0,1,Booking
454,12-11-2025,THEKKATH AGENCIES,THRISSUR,7,3160.0,2,Booking
455,12-11-2025,VARIETY GIFTS,TIRUR,7,3900.0,1,Booking
